size,trial,mmap_time,matrix_mul_time
64,1,0.113000,32.363000
64,2,0.115000,31.565000
64,3,0.111000,30.493000
64,4,0.112000,32.706000
64,5,0.111000,30.410000
64,6,0.110000,31.395000
64,7,0.110000,32.119000
64,8,0.153000,30.369000
64,9,0.111000,30.683000
64,10,0.110000,31.250000
128,1,0.271000,272.111000
128,2,0.136000,294.133000
128,3,0.112000,276.960000
128,4,0.113000,272.011000
128,5,0.113000,274.033000
128,6,0.113000,274.739000
128,7,0.158000,272.833000
128,8,0.114000,282.225000
128,9,0.114000,278.374000
128,10,0.112000,271.923000
256,1,0.156000,2661.362000
256,2,0.129000,3332.500000
256,3,0.114000,3737.687000
256,4,0.111000,2958.444000
256,5,0.112000,2931.819000
256,6,0.111000,3146.040000
256,7,0.115000,3136.749000
256,8,0.111000,3204.762000
256,9,0.115000,2615.565000
256,10,0.111000,4448.870000
512,1,0.112000,38862.637000
512,2,0.156000,39069.724000
512,3,0.113000,38819.130000
512,4,0.112000,38976.975000
512,5,0.113000,40646.890000
512,6,0.114000,39513.991000
512,7,0.113000,39811.876000
512,8,0.113000,38960.361000
512,9,0.111000,39001.728000
512,10,0.114000,38813.043000
