size,trial,mmap_time,matrix_mul_time
64,1,0.061000,0.469000
64,2,0.061000,0.471000
64,3,0.059000,0.464000
64,4,0.102000,0.460000
64,5,0.062000,0.470000
64,6,0.061000,0.465000
64,7,0.059000,0.471000
64,8,0.104000,0.464000
64,9,0.103000,0.512000
64,10,0.066000,0.475000
128,1,0.062000,1.718000
128,2,0.062000,1.726000
128,3,0.062000,1.718000
128,4,0.061000,1.717000
128,5,0.059000,1.877000
128,6,0.102000,1.710000
128,7,0.061000,1.717000
128,8,0.104000,1.707000
128,9,0.062000,1.719000
128,10,0.060000,1.985000
256,1,0.063000,6.883000
256,2,0.061000,6.671000
256,3,0.105000,8.308000
256,4,0.061000,6.659000
256,5,0.062000,7.436000
256,6,0.065000,6.709000
256,7,0.061000,7.554000
256,8,0.063000,6.696000
256,9,0.060000,8.723000
256,10,0.062000,6.724000
512,1,0.060000,28.004000
512,2,0.060000,26.907000
512,3,0.060000,26.707000
512,4,0.062000,26.962000
512,5,0.060000,28.803000
512,6,0.061000,27.099000
512,7,0.069000,27.094000
512,8,0.103000,28.438000
512,9,0.060000,26.718000
512,10,0.065000,26.725000
