size,trial,mmap_time,matrix_mul_time
64,1,0.216000,31.218000
64,2,0.217000,30.838000
64,3,0.212000,32.398000
64,4,0.219000,30.558000
64,5,0.208000,30.578000
64,6,0.211000,32.074000
64,7,0.220000,33.391000
64,8,0.873000,32.651000
64,9,0.217000,30.814000
64,10,0.205000,30.600000
128,1,0.526000,271.776000
128,2,0.537000,273.490000
128,3,0.512000,271.910000
128,4,0.500000,273.590000
128,5,0.506000,275.332000
128,6,0.500000,274.751000
128,7,0.533000,271.335000
128,8,0.486000,271.402000
128,9,0.498000,273.438000
128,10,0.567000,275.385000
256,1,1.676000,2617.527000
256,2,1.757000,2589.881000
256,3,1.694000,2668.480000
256,4,1.626000,2732.911000
256,5,1.786000,2504.562000
256,6,1.677000,2787.510000
256,7,1.732000,2791.540000
256,8,1.652000,2619.141000
256,9,1.803000,2480.946000
256,10,1.632000,2885.726000
512,1,6.564000,38067.393000
512,2,6.399000,37718.995000
512,3,6.795000,37692.213000
512,4,6.320000,37671.885000
512,5,6.273000,37681.124000
512,6,6.529000,38031.516000
512,7,6.535000,38058.105000
512,8,6.473000,38044.382000
512,9,6.481000,37773.425000
512,10,6.423000,38101.727000
