size,trial,mmap_time,matrix_mul_time
64,0,0.133000,30.176000
64,1,0.143000,31.245000
64,2,0.135000,31.210000
64,3,0.141000,30.644000
64,4,0.137000,31.393000
64,5,0.141000,30.465000
64,6,0.125000,31.745000
64,7,0.125000,30.178000
64,8,0.135000,30.173000
64,9,0.143000,30.421000
128,0,0.519000,273.119000
128,1,0.437000,272.686000
128,2,0.488000,273.221000
128,3,0.430000,280.530000
128,4,0.434000,273.723000
128,5,0.449000,273.811000
128,6,0.432000,273.685000
128,7,0.426000,273.336000
128,8,0.437000,272.925000
128,9,0.431000,271.418000
256,0,1.610000,2423.061000
